Input_Type,Extracted_Text,Language,Audio_File_Name,Text_Length
Typed_Text,Education technology enhances remote learning.,English,output_0.mp3,120
Image_Text,Financial markets react to global events.,English,output_1.mp3,75
PDF_Text,Text to Speech systems improve accessibility.,English,output_2.mp3,91
Image_Text,Education technology enhances remote learning.,English,output_3.mp3,68
Image_Text,Machine learning models require clean data.,English,output_4.mp3,58
PDF_Text,Artificial Intelligence is transforming the world.,English,output_5.mp3,65
Typed_Text,Optical Character Recognition extracts text from images.,English,output_6.mp3,112
Image_Text,Healthcare systems rely on predictive analytics.,English,output_7.mp3,109
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_8.mp3,120
PDF_Text,Machine learning models require clean data.,English,output_9.mp3,28
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_10.mp3,74
PDF_Text,Optical Character Recognition extracts text from images.,English,output_11.mp3,84
Image_Text,Text to Speech systems improve accessibility.,English,output_12.mp3,55
Image_Text,Healthcare systems rely on predictive analytics.,English,output_13.mp3,98
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_14.mp3,35
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_15.mp3,76
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_16.mp3,88
Image_Text,Machine learning models require clean data.,English,output_17.mp3,67
Image_Text,Education technology enhances remote learning.,English,output_18.mp3,125
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_19.mp3,29
Typed_Text,Text to Speech systems improve accessibility.,English,output_20.mp3,70
PDF_Text,Financial markets react to global events.,English,output_21.mp3,115
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_22.mp3,105
Image_Text,Artificial Intelligence is transforming the world.,English,output_23.mp3,121
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_24.mp3,68
Image_Text,Artificial Intelligence is transforming the world.,English,output_25.mp3,30
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_26.mp3,30
Typed_Text,Text to Speech systems improve accessibility.,English,output_27.mp3,79
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_28.mp3,42
Typed_Text,Financial markets react to global events.,English,output_29.mp3,56
PDF_Text,Machine learning models require clean data.,English,output_30.mp3,70
Image_Text,Machine learning models require clean data.,English,output_31.mp3,49
PDF_Text,Financial markets react to global events.,English,output_32.mp3,100
Typed_Text,Optical Character Recognition extracts text from images.,English,output_33.mp3,135
Image_Text,Optical Character Recognition extracts text from images.,English,output_34.mp3,25
Image_Text,Education technology enhances remote learning.,English,output_35.mp3,57
Typed_Text,Text to Speech systems improve accessibility.,English,output_36.mp3,136
Image_Text,Artificial Intelligence is transforming the world.,English,output_37.mp3,38
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_38.mp3,122
Typed_Text,Text to Speech systems improve accessibility.,English,output_39.mp3,63
Image_Text,Artificial Intelligence is transforming the world.,English,output_40.mp3,38
PDF_Text,Machine learning models require clean data.,English,output_41.mp3,69
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_42.mp3,85
Image_Text,Financial markets react to global events.,English,output_43.mp3,122
PDF_Text,Optical Character Recognition extracts text from images.,English,output_44.mp3,144
PDF_Text,Education technology enhances remote learning.,English,output_45.mp3,74
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_46.mp3,41
Image_Text,Artificial Intelligence is transforming the world.,English,output_47.mp3,83
Typed_Text,Financial markets react to global events.,English,output_48.mp3,112
Image_Text,Financial markets react to global events.,English,output_49.mp3,63
Image_Text,Machine learning models require clean data.,English,output_50.mp3,97
Typed_Text,Financial markets react to global events.,English,output_51.mp3,26
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_52.mp3,93
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_53.mp3,80
Typed_Text,Machine learning models require clean data.,English,output_54.mp3,148
Image_Text,Text to Speech systems improve accessibility.,English,output_55.mp3,77
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_56.mp3,122
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_57.mp3,104
Typed_Text,Optical Character Recognition extracts text from images.,English,output_58.mp3,69
Image_Text,Healthcare systems rely on predictive analytics.,English,output_59.mp3,138
Typed_Text,Financial markets react to global events.,English,output_60.mp3,144
PDF_Text,Education technology enhances remote learning.,English,output_61.mp3,48
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_62.mp3,22
Image_Text,Text to Speech systems improve accessibility.,English,output_63.mp3,74
Image_Text,Text to Speech systems improve accessibility.,English,output_64.mp3,24
PDF_Text,Optical Character Recognition extracts text from images.,English,output_65.mp3,78
Typed_Text,Education technology enhances remote learning.,English,output_66.mp3,29
Typed_Text,Optical Character Recognition extracts text from images.,English,output_67.mp3,75
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_68.mp3,47
PDF_Text,Education technology enhances remote learning.,English,output_69.mp3,103
PDF_Text,Education technology enhances remote learning.,English,output_70.mp3,36
Image_Text,Machine learning models require clean data.,English,output_71.mp3,137
Typed_Text,Optical Character Recognition extracts text from images.,English,output_72.mp3,32
Image_Text,Financial markets react to global events.,English,output_73.mp3,95
PDF_Text,Artificial Intelligence is transforming the world.,English,output_74.mp3,64
Image_Text,Artificial Intelligence is transforming the world.,English,output_75.mp3,47
Image_Text,Machine learning models require clean data.,English,output_76.mp3,122
PDF_Text,Machine learning models require clean data.,English,output_77.mp3,59
Typed_Text,Financial markets react to global events.,English,output_78.mp3,73
Image_Text,Artificial Intelligence is transforming the world.,English,output_79.mp3,40
PDF_Text,Machine learning models require clean data.,English,output_80.mp3,79
PDF_Text,Education technology enhances remote learning.,English,output_81.mp3,81
Typed_Text,Optical Character Recognition extracts text from images.,English,output_82.mp3,134
PDF_Text,Machine learning models require clean data.,English,output_83.mp3,84
Typed_Text,Machine learning models require clean data.,English,output_84.mp3,33
PDF_Text,Education technology enhances remote learning.,English,output_85.mp3,23
Typed_Text,Financial markets react to global events.,English,output_86.mp3,40
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_87.mp3,20
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_88.mp3,58
